Купить продукты;Купить молоко, яйца, хлеб;SHOPPING;HIGH;2023.04.13;0
Сделать презентацию;Подготовить презентацию на тему тригонометрия в быту;WORK;MEDIUM;2023.03.28;1
Сходить в спортзал;Пойти на занятия в спортзал;PERSONAL;HIGH;2023.04.05;0
Написать статью;Написать статью для блога;WORK;HIGH;2023.04.09;0
Позвонить другу;;PERSONAL;MEDIUM;;1
Сделать уборку;Сделать уборку в комнате, включая вытирание пыли, мытье пола и окон, вынос мусора;HOME;MEDIUM;;1
Прочитать новую книгу;Прочитать "Мастер и Маргариту";PERSONAL;LOW;;0
Записаться на курсы англ.;;PERSONAL;MEDIUM;2023.03.27;1
Сходить на собеседование;Подготовиться к собеседованию, записаться на него и явиться в указанное время и место для проведения собеседования;WORK;HIGH;2023.04.31;0
Подготовиться к марафону;Предварительно провести серьезную подготовку: перед началом тренировок определиться с целями, которые нужно достичь, а также составить подробный план тренировок, который должен включать в себя кардио-упражнения, а так же упражнения на силу и гибкость. В плане тренировок уделить внимание не только физической активности, но и здоровому образу жизни в целом. Для марафона выбрать правильную экипировку, включая специальную обувь и одежду. Определиться с тактикой бега. Не забыть про расслабление и восстановление после тренировок, включая массаж, растяжку и хороший сон. Не забыть зарегистрироваться и прибыть на стартовую линию вовремя;PERSONAL;HIGH;2023.05.31;0
